area_code,type,diocese,sa_2022_code,african_caribbean_black,asian,other,white
137037003,ROI small area,"Kilmore, Elphin and Ardagh",137037003,0,0,3,191
137037001,ROI small area,"Kilmore, Elphin and Ardagh",137037001,2,0,7,237
237048001,ROI small area,"Kilmore, Elphin and Ardagh",237048001,0,0,7,161
137004001,ROI small area,"Kilmore, Elphin and Ardagh",137004001,1,0,0,197
137010001,ROI small area,"Kilmore, Elphin and Ardagh",137010001,0,1,2,221
137022001,ROI small area,"Kilmore, Elphin and Ardagh",137022001,0,1,6,246
237090002,ROI small area,"Kilmore, Elphin and Ardagh",237090002,0,0,3,190
137019001,ROI small area,"Kilmore, Elphin and Ardagh",137019001,2,1,2,388
197031003,ROI small area,"Kilmore, Elphin and Ardagh",197031003,0,1,0,138
197093002,ROI small area,"Kilmore, Elphin and Ardagh",197093002,1,0,1,194
197093001,ROI small area,"Kilmore, Elphin and Ardagh",197093001,7,10,5,159
197109001,ROI small area,"Kilmore, Elphin and Ardagh",197109001,0,1,2,322
197020004,ROI small area,"Kilmore, Elphin and Ardagh",197020004,0,0,0,215
027021001,ROI small area,"Kilmore, Elphin and Ardagh",027021001,0,1,2,185
027007001,ROI small area,"Kilmore, Elphin and Ardagh",027007001,0,8,0,221
027044001,ROI small area,"Kilmore, Elphin and Ardagh",027044001,1,0,0,305
027054001/027054003,ROI small area,"Kilmore, Elphin and Ardagh",027054001/027054003,0,1,0,360
027023001,ROI small area,"Kilmore, Elphin and Ardagh",027023001,2,6,1,291
027076001,ROI small area,"Kilmore, Elphin and Ardagh",027076001,0,0,0,196
027076002,ROI small area,"Kilmore, Elphin and Ardagh",027076002,0,1,0,206
027003001,ROI small area,"Kilmore, Elphin and Ardagh",027003001,0,0,0,216
027027001,ROI small area,"Kilmore, Elphin and Ardagh",027027001,0,0,1,317
027027003,ROI small area,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
177051001/177051002,ROI small area,"Kilmore, Elphin and Ardagh",177051001/177051002,0,0,0,213
177032001,ROI small area,"Kilmore, Elphin and Ardagh",177032001,0,1,2,214
177032002,ROI small area,"Kilmore, Elphin and Ardagh",177032002,1,0,0,225
177026001,ROI small area,"Kilmore, Elphin and Ardagh",177026001,3,0,0,268
177028002,ROI small area,"Kilmore, Elphin and Ardagh",177028002,0,0,0,344
177026002,ROI small area,"Kilmore, Elphin and Ardagh",177026002,0,0,0,248
177004001,ROI small area,"Kilmore, Elphin and Ardagh",177004001,0,0,1,181
117062001,ROI small area,"Kilmore, Elphin and Ardagh",117062001,0,0,0,142
117054001,ROI small area,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
027041001,ROI small area,"Kilmore, Elphin and Ardagh",027041001,0,4,4,143
117023001,ROI small area,"Kilmore, Elphin and Ardagh",117023001,0,0,0,134
117043001,ROI small area,"Kilmore, Elphin and Ardagh",117043001,1,0,2,230
027058001/027085001,ROI small area,"Kilmore, Elphin and Ardagh",027058001/027085001,0,0,0,135
237066002,ROI small area,Meath and Kildare,237066002,0,0,4,265
237019001,ROI small area,Meath and Kildare,237019001,0,0,2,260
237067001,ROI small area,Meath and Kildare,237067001,0,0,0,230
237081002,ROI small area,Meath and Kildare,237081002,1,5,3,175
237098001,ROI small area,"Kilmore, Elphin and Ardagh",237098001,1,1,1,263
137030001/137052001,ROI small area,"Kilmore, Elphin and Ardagh",137030001/137052001,1,0,0,187
237033001,ROI small area,"Kilmore, Elphin and Ardagh",237033001,0,1,1,342
237069001,ROI small area,Meath and Kildare,237069001,0,0,0,151
237049001,ROI small area,"Kilmore, Elphin and Ardagh",237049001,1,0,0,181
237070001,ROI small area,"Kilmore, Elphin and Ardagh",237070001,0,0,0,124
237053001,ROI small area,Meath and Kildare,237053001,0,1,7,255
237031002,ROI small area,Meath and Kildare,237031002,0,0,1,249
237028001,ROI small area,Meath and Kildare,237028001,0,0,0,280
237044002,ROI small area,Meath and Kildare,237044002,1,0,1,182
167022001,ROI small area,Meath and Kildare,167022001,0,1,2,356
167049001,ROI small area,Meath and Kildare,167049001,0,0,2,241
167063002,ROI small area,Meath and Kildare,167063002,0,0,0,198
167063001,ROI small area,Meath and Kildare,167063001,0,0,0,210
167047001,ROI small area,Meath and Kildare,167047001,0,0,2,296
167056001,ROI small area,Meath and Kildare,167056001,0,1,0,205
167021001,ROI small area,Meath and Kildare,167021001,1,0,2,334
167051001,ROI small area,Meath and Kildare,167051001,0,0,2,253
167051002,ROI small area,Meath and Kildare,167051002,0,1,4,299
167077001,ROI small area,Meath and Kildare,167077001,0,2,1,368
167046006,ROI small area,Meath and Kildare,167046006,0,1,2,244
167019002,ROI small area,Meath and Kildare,167019002,0,1,3,294
167045001,ROI small area,Meath and Kildare,167045001,1,0,2,326
167090002,ROI small area,Meath and Kildare,167090002,0,5,5,398
167057001,ROI small area,Meath and Kildare,167057001,0,0,0,337
167057002,ROI small area,Meath and Kildare,167057002,0,0,0,339
167044001,ROI small area,Meath and Kildare,167044001,0,0,0,402
167011002,ROI small area,Meath and Kildare,167011002,1,3,4,393
167050003,ROI small area,Meath and Kildare,167050003,0,2,7,309
167080001,ROI small area,Meath and Kildare,167080001,0,0,5,348
167088002,ROI small area,Meath and Kildare,167088002,0,2,0,242
167088001,ROI small area,Meath and Kildare,167088001,6,1,9,418
167020001,ROI small area,Meath and Kildare,167020001,0,1,0,505
167076003,ROI small area,Meath and Kildare,167076003,0,2,5,446
167055001,ROI small area,Meath and Kildare,167055001,0,0,10,421
167033001,ROI small area,Meath and Kildare,167033001,3,1,0,432
167013001,ROI small area,Meath and Kildare,167013001,0,0,1,273
167010001,ROI small area,Meath and Kildare,167010001,0,0,0,252
167039014,ROI small area,Meath and Kildare,167039014,0,3,3,228
167089001,ROI small area,Meath and Kildare,167089001,0,0,2,238
167089002,ROI small area,Meath and Kildare,167089002,0,4,4,403
167002004,ROI small area,Meath and Kildare,167002004,0,2,4,338
167081007,ROI small area,Meath and Kildare,167081007,0,1,5,210
027055001,ROI small area,"Kilmore, Elphin and Ardagh",027055001,0,1,0,318
237043001,ROI small area,"Kilmore, Elphin and Ardagh",237043001,1,0,3,235
167049002/167049003,ROI small area,Meath and Kildare,167049002/167049003,0,0,1,151
027052005,ROI small area,Meath and Kildare,027052005,0,0,0,194
137021002,ROI small area,"Kilmore, Elphin and Ardagh",137021002,2,0,0,167
027053002,ROI small area,"Kilmore, Elphin and Ardagh",027053002,0,0,1,239
027009001,ROI small area,"Kilmore, Elphin and Ardagh",027009001,0,0,0,166
117067001,ROI small area,"Kilmore, Elphin and Ardagh",117067001,0,0,2,172
117021001,ROI small area,"Kilmore, Elphin and Ardagh",117021001,0,0,0,145
117045001,ROI small area,"Kilmore, Elphin and Ardagh",117045001,1,0,0,146
117019001,ROI small area,"Kilmore, Elphin and Ardagh",117019001,0,2,1,233
027014001,ROI small area,"Kilmore, Elphin and Ardagh",027014001,9,0,0,70
027062001,ROI small area,"Kilmore, Elphin and Ardagh",027062001,0,0,1,104
117068001,ROI small area,"Kilmore, Elphin and Ardagh",117068001,1,0,5,288
027010001,ROI small area,"Kilmore, Elphin and Ardagh",027010001,0,0,0,234
027071002,ROI small area,"Kilmore, Elphin and Ardagh",027071002,0,0,6,178
027071001,ROI small area,"Kilmore, Elphin and Ardagh",027071001,3,0,9,173
027068001,ROI small area,"Kilmore, Elphin and Ardagh",027068001,0,0,0,285
027015001,ROI small area,"Kilmore, Elphin and Ardagh",027015001,0,0,5,181
027019001,ROI small area,"Kilmore, Elphin and Ardagh",027019001,0,2,0,203
027038001/027047001,ROI small area,"Kilmore, Elphin and Ardagh",027038001/027047001,1,0,3,132
027037001,ROI small area,"Kilmore, Elphin and Ardagh",027037001,0,1,0,85
027083001,ROI small area,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
027089001,ROI small area,"Kilmore, Elphin and Ardagh",027089001,0,6,0,161
117044001,ROI small area,"Kilmore, Elphin and Ardagh",117044001,1,0,2,269
117061002,ROI small area,"Kilmore, Elphin and Ardagh",117061002,0,0,2,231
117041001,ROI small area,"Kilmore, Elphin and Ardagh",117041001,0,0,0,153
207067001,ROI small area,"Kilmore, Elphin and Ardagh",207067001,0,0,0,181
117077001,ROI small area,"Kilmore, Elphin and Ardagh",117077001,0,0,5,189
117002001/117003001,ROI small area,"Kilmore, Elphin and Ardagh",117002001/117003001,1,1,0,221
117058003,ROI small area,"Kilmore, Elphin and Ardagh",117058003,0,0,0,143
117063007,ROI small area,"Kilmore, Elphin and Ardagh",117063007,0,5,7,178
117042001,ROI small area,"Kilmore, Elphin and Ardagh",117042001,0,1,1,170
117008001,ROI small area,"Kilmore, Elphin and Ardagh",117008001,0,0,0,171
117057001,ROI small area,"Kilmore, Elphin and Ardagh",117057001,0,0,1,224
117005001/117064001,ROI small area,"Kilmore, Elphin and Ardagh",117005001/117064001,0,0,4,221
117013001,ROI small area,"Kilmore, Elphin and Ardagh",117013001,0,0,3,263
117047001,ROI small area,"Kilmore, Elphin and Ardagh",117047001,0,0,0,284
117073001,ROI small area,"Kilmore, Elphin and Ardagh",117073001,1,2,0,257
117004001,ROI small area,"Kilmore, Elphin and Ardagh",117004001,0,0,0,154
117046001,ROI small area,"Kilmore, Elphin and Ardagh",117046001,0,2,1,275
027002002,ROI small area,"Kilmore, Elphin and Ardagh",027002002,0,0,1,204
117017001,ROI small area,"Kilmore, Elphin and Ardagh",117017001,0,0,8,278
117025001,ROI small area,"Kilmore, Elphin and Ardagh",117025001,2,0,0,242
117016001,ROI small area,"Kilmore, Elphin and Ardagh",117016001,0,1,2,151
027081001,ROI small area,"Kilmore, Elphin and Ardagh",027081001,1,0,0,166
027029001,ROI small area,"Kilmore, Elphin and Ardagh",027029001,1,0,0,277
117055001,ROI small area,"Kilmore, Elphin and Ardagh",117055001,0,0,0,127
027050001,ROI small area,"Kilmore, Elphin and Ardagh",027050001,0,3,4,314
167070004,ROI small area,Meath and Kildare,167070004,0,1,1,382
167086001,ROI small area,Meath and Kildare,167086001,0,0,3,236
027092017,ROI small area,Meath and Kildare,027092017,0,1,2,384
027008001,ROI small area,"Kilmore, Elphin and Ardagh",027008001,0,5,0,297
027092006,ROI small area,"Kilmore, Elphin and Ardagh",027092006,1,1,4,290
027092011,ROI small area,"Kilmore, Elphin and Ardagh",027092011,1,0,0,230
027031001,ROI small area,"Kilmore, Elphin and Ardagh",027031001,1,4,2,367
027005001,ROI small area,"Kilmore, Elphin and Ardagh",027005001,0,0,0,222
027012002,ROI small area,"Kilmore, Elphin and Ardagh",027012002,4,0,1,325
027035001,ROI small area,"Kilmore, Elphin and Ardagh",027035001,0,0,0,234
027033001,ROI small area,"Kilmore, Elphin and Ardagh",027033001,0,0,0,357
027032002,ROI small area,"Kilmore, Elphin and Ardagh",027032002,1,0,2,198
027060002,ROI small area,"Kilmore, Elphin and Ardagh",027060002,0,1,2,217
027060001,ROI small area,"Kilmore, Elphin and Ardagh",027060001,0,3,6,178
027034001,ROI small area,"Kilmore, Elphin and Ardagh",027034001,0,7,4,432
027093002,ROI small area,"Kilmore, Elphin and Ardagh",027093002,0,0,0,302
027087002,ROI small area,"Kilmore, Elphin and Ardagh",027087002,3,0,0,325
027082003,ROI small area,"Kilmore, Elphin and Ardagh",027082003,1,3,0,254
027066001,ROI small area,"Kilmore, Elphin and Ardagh",027066001,0,0,0,223
027065001,ROI small area,"Kilmore, Elphin and Ardagh",027065001,0,0,2,243
027065002,ROI small area,"Kilmore, Elphin and Ardagh",027065002,0,1,1,203
027018001,ROI small area,"Kilmore, Elphin and Ardagh",027018001,0,0,0,207
027018002,ROI small area,"Kilmore, Elphin and Ardagh",027018002,1,1,1,325
167058002,ROI small area,Meath and Kildare,167058002,1,0,2,255
167059001,ROI small area,Meath and Kildare,167059001,1,0,2,255
167084001,ROI small area,Meath and Kildare,167084001,0,0,5,412
167064001/167064002,ROI small area,Meath and Kildare,167064001/167064002,0,1,0,340
167064003,ROI small area,Meath and Kildare,167064003,0,1,2,285
167068002,ROI small area,Meath and Kildare,167068002,0,3,3,298
167067001,ROI small area,"Kilmore, Elphin and Ardagh",167067001,0,1,3,216
167092001,ROI small area,"Kilmore, Elphin and Ardagh",167092001,0,2,4,333
167052002,ROI small area,Meath and Kildare,167052002,0,0,3,247
167062001,ROI small area,Meath and Kildare,167062001,0,1,1,273
167052003,ROI small area,Meath and Kildare,167052003,1,4,0,336
167034002,ROI small area,Meath and Kildare,167034002,0,1,3,385
167018002,ROI small area,Meath and Kildare,167018002,0,0,0,257
167072001,ROI small area,Meath and Kildare,167072001,2,0,2,183
167027003,ROI small area,Meath and Kildare,167027003,0,0,0,173
147010001,ROI small area,Meath and Kildare,147010001,0,5,2,387
167001001,ROI small area,Meath and Kildare,167001001,0,0,0,230
027063011,ROI small area,Meath and Kildare,027063011,0,5,1,359
177044003,ROI small area,Meath and Kildare,177044003,0,0,1,249
177037002,ROI small area,Meath and Kildare,177037002,5,1,1,293
177063002,ROI small area,"Kilmore, Elphin and Ardagh",177063002,0,0,0,204
047034003,ROI small area,"Cork, Cloyne and Ross",047034003,0,0,1,247
047212001,ROI small area,"Cork, Cloyne and Ross",047212001,0,0,4,266
047231001,ROI small area,"Cork, Cloyne and Ross",047231001,1,0,0,302
047056002,ROI small area,"Cork, Cloyne and Ross",047056002,0,0,4,327
047220001,ROI small area,"Cork, Cloyne and Ross",047220001,0,1,1,204
047088001,ROI small area,"Cork, Cloyne and Ross",047088001,2,3,8,232
047220002,ROI small area,"Cork, Cloyne and Ross",047220002,0,0,1,207
047088002,ROI small area,"Cork, Cloyne and Ross",047088002,0,0,0,219
047300002,ROI small area,"Cork, Cloyne and Ross",047300002,0,0,0,195
047264002,ROI small area,"Cork, Cloyne and Ross",047264002,0,1,2,300
047001001,ROI small area,"Cork, Cloyne and Ross",047001001,1,0,2,206
047309002/047309004,ROI small area,"Cork, Cloyne and Ross",047309002/047309004,1,0,3,311
047310001,ROI small area,"Cork, Cloyne and Ross",047310001,0,0,0,298
047310002,ROI small area,"Cork, Cloyne and Ross",047310002,0,4,2,189
047117003,ROI small area,"Cork, Cloyne and Ross",047117003,0,0,2,254
047275003,ROI small area,"Cork, Cloyne and Ross",047275003,0,3,3,164
047112002,ROI small area,"Cork, Cloyne and Ross",047112002,1,0,0,204
047234002,ROI small area,"Cork, Cloyne and Ross",047234002,0,0,5,355
047031002,ROI small area,"Cork, Cloyne and Ross",047031002,0,1,1,177
047208001,ROI small area,"Cork, Cloyne and Ross",047208001,0,0,0,195
047207001,ROI small area,"Cork, Cloyne and Ross",047207001,0,0,0,366
047275002,ROI small area,"Cork, Cloyne and Ross",047275002,2,0,0,237
047275001,ROI small area,"Cork, Cloyne and Ross",047275001,0,1,0,264
167030016,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
267091001,ROI small area,Meath and Kildare,267091001,2,8,11,722
167074001,ROI small area,Meath and Kildare,167074001,0,1,0,295
167028002,ROI small area,Meath and Kildare,167028002,1,2,3,388
167003007,ROI small area,Meath and Kildare,167003007,2,0,10,289
167038002,ROI small area,Meath and Kildare,167038002,0,2,5,380
167071003,ROI small area,Meath and Kildare,167071003,0,3,10,222
167061002,ROI small area,Meath and Kildare,167061002,0,0,0,271
167028015,ROI small area,Meath and Kildare,167028015,1,0,2,214
167082002,ROI small area,Meath and Kildare,167082002,1,1,11,383
167034001,ROI small area,Meath and Kildare,167034001,0,0,0,283
147035012,ROI small area,Meath and Kildare,147035012,0,3,0,523
027009003,ROI small area,"Kilmore, Elphin and Ardagh",027009003,0,0,0,214
027009004,ROI small area,"Kilmore, Elphin and Ardagh",027009004,0,6,0,226
027036001,ROI small area,"Kilmore, Elphin and Ardagh",027036001,1,0,0,254
077011002/077011003/077011006,ROI small area,"Tuam, Limerick and Killaloe",077011002/077011003/077011006,0,0,0,106
077011004/077011005,ROI small area,"Tuam, Limerick and Killaloe",077011004/077011005,0,0,1,170
077165001,ROI small area,"Tuam, Limerick and Killaloe",077165001,0,0,3,98
077075002,ROI small area,"Tuam, Limerick and Killaloe",077075002,0,0,0,98
077159001,ROI small area,"Tuam, Limerick and Killaloe",077159001,0,0,1,135
077035003,ROI small area,"Tuam, Limerick and Killaloe",077035003,0,1,2,143
077035002,ROI small area,"Tuam, Limerick and Killaloe",077035002,1,6,0,244
077035005/077035008,ROI small area,"Tuam, Limerick and Killaloe",077035005/077035008,1,1,8,176
077045003,ROI small area,"Tuam, Limerick and Killaloe",077045003,0,1,0,199
077082003,ROI small area,"Tuam, Limerick and Killaloe",077082003,0,0,2,165
077082008,ROI small area,"Tuam, Limerick and Killaloe",077082008,0,0,0,181
077166001,ROI small area,"Tuam, Limerick and Killaloe",077166001,0,0,1,84
077166004,ROI small area,"Tuam, Limerick and Killaloe",077166004,0,0,0,74
077074004,ROI small area,"Tuam, Limerick and Killaloe",077074004,0,0,2,186
077074003,ROI small area,"Tuam, Limerick and Killaloe",077074003,1,1,0,121
077082006,ROI small area,"Tuam, Limerick and Killaloe",077082006,0,0,0,186
077082004,ROI small area,"Tuam, Limerick and Killaloe",077082004,1,0,10,247
077112003/077112004,ROI small area,"Tuam, Limerick and Killaloe",077112003/077112004,0,1,3,133
047163002,ROI small area,"Cork, Cloyne and Ross",047163002,1,0,2,77
047312002/047312005,ROI small area,"Cork, Cloyne and Ross",047312002/047312005,0,0,1,74
047241002/047241003/047241004,ROI small area,"Cork, Cloyne and Ross",047241002/047241003/047241004,0,0,5,96
047068001,ROI small area,"Cork, Cloyne and Ross",047068001,0,0,3,102
047313001/047313004,ROI small area,"Cork, Cloyne and Ross",047313001/047313004,0,0,3,175
047110002,ROI small area,"Cork, Cloyne and Ross",047110002,1,0,0,251
047013001,ROI small area,"Cork, Cloyne and Ross",047013001,0,0,0,356
047199001,ROI small area,"Cork, Cloyne and Ross",047199001,0,0,0,270
047199002,ROI small area,"Cork, Cloyne and Ross",047199002,1,1,9,242
047095007/047095008,ROI small area,"Cork, Cloyne and Ross",047095007/047095008,0,13,3,373
047309003,ROI small area,"Cork, Cloyne and Ross",047309003,0,0,1,246
047095002,ROI small area,"Cork, Cloyne and Ross",047095002,0,0,0,251
047309001,ROI small area,"Cork, Cloyne and Ross",047309001,2,1,0,201
047137002,ROI small area,"Cork, Cloyne and Ross",047137002,0,10,3,149
047154002,ROI small area,"Cork, Cloyne and Ross",047154002,0,0,0,172
047154001,ROI small area,"Cork, Cloyne and Ross",047154001,0,0,1,213
047134001,ROI small area,"Cork, Cloyne and Ross",047134001,1,0,4,259
047146002,ROI small area,"Cork, Cloyne and Ross",047146002,0,1,0,212
047145001,ROI small area,"Cork, Cloyne and Ross",047145001,1,0,2,199
047145002,ROI small area,"Cork, Cloyne and Ross",047145002,0,1,1,170
047017001,ROI small area,"Cork, Cloyne and Ross",047017001,0,0,0,189
047017002,ROI small area,"Cork, Cloyne and Ross",047017002,1,0,0,244
077078006,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
077061002/077061006,ROI small area,"Tuam, Limerick and Killaloe",077061002/077061006,0,2,0,118
077061005,ROI small area,"Tuam, Limerick and Killaloe",077061005,0,0,0,163
077089001,ROI small area,"Tuam, Limerick and Killaloe",077089001,0,0,0,139
077084002,ROI small area,"Tuam, Limerick and Killaloe",077084002,2,0,0,64
077089008,ROI small area,"Tuam, Limerick and Killaloe",077089008,2,4,3,228
077089005/077089007,ROI small area,"Tuam, Limerick and Killaloe",077089005/077089007,3,4,2,124
077072002,ROI small area,"Tuam, Limerick and Killaloe",077072002,1,0,0,233
077072003,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
077141002,ROI small area,"Tuam, Limerick and Killaloe",077141002,0,0,0,223
077053002,ROI small area,"Tuam, Limerick and Killaloe",077053002,0,3,0,312
077101010,ROI small area,"Tuam, Limerick and Killaloe",077101010,2,9,4,188
077053003,ROI small area,"Tuam, Limerick and Killaloe",077053003,1,7,4,240
077101015,ROI small area,"Tuam, Limerick and Killaloe",077101015,0,6,0,281
077101016,ROI small area,"Tuam, Limerick and Killaloe",077101016,6,0,3,265
077101013,ROI small area,"Tuam, Limerick and Killaloe",077101013,0,7,0,214
077101019,ROI small area,"Tuam, Limerick and Killaloe",077101019,0,5,7,334
077033002,ROI small area,"Tuam, Limerick and Killaloe",077033002,0,2,0,286
077087002/02,ROI small area,"Tuam, Limerick and Killaloe",077087002/02,10,10,15,214
077066001,ROI small area,"Tuam, Limerick and Killaloe",077066001,0,6,2,267
077022002,ROI small area,"Tuam, Limerick and Killaloe",077022002,0,0,1,139
077012002,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
077040003,ROI small area,"Tuam, Limerick and Killaloe",077040003,0,0,0,86
077040002,ROI small area,"Tuam, Limerick and Killaloe",077040002,0,0,0,100
077040005,ROI small area,"Tuam, Limerick and Killaloe",077040005,0,0,1,103
077106002,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
077106001,ROI small area,"Tuam, Limerick and Killaloe",077106001,3,0,1,216
077040007,ROI small area,"Tuam, Limerick and Killaloe",077040007,0,0,0,205
077040006,ROI small area,"Tuam, Limerick and Killaloe",077040006,0,0,0,182
077106020,ROI small area,"Tuam, Limerick and Killaloe",077106020,0,8,2,268
077099001,ROI small area,"Tuam, Limerick and Killaloe",077099001,0,0,0,237
077106015,ROI small area,"Tuam, Limerick and Killaloe",077106015,0,2,4,257
077106008,ROI small area,"Tuam, Limerick and Killaloe",077106008,0,1,0,315
077106010,ROI small area,"Tuam, Limerick and Killaloe",077106010,0,1,5,97
077106013,ROI small area,"Tuam, Limerick and Killaloe",077106013,0,5,0,331
077136004,ROI small area,"Tuam, Limerick and Killaloe",077136004,0,0,0,303
077096001,ROI small area,"Tuam, Limerick and Killaloe",077096001,0,0,0,126
077096002,ROI small area,"Tuam, Limerick and Killaloe",077096002,2,3,0,246
047033002,ROI small area,"Cork, Cloyne and Ross",047033002,0,2,1,252
047045001,ROI small area,"Cork, Cloyne and Ross",047045001,0,0,0,387
047185002,ROI small area,"Cork, Cloyne and Ross",047185002,0,2,9,216
047185001,ROI small area,"Cork, Cloyne and Ross",047185001,0,0,0,378
047230001,ROI small area,"Cork, Cloyne and Ross",047230001,0,0,2,312
047015001,ROI small area,"Cork, Cloyne and Ross",047015001,0,0,3,256
047015002,ROI small area,"Cork, Cloyne and Ross",047015002,1,0,0,307
047186002,ROI small area,"Cork, Cloyne and Ross",047186002,2,0,2,298
047033001,ROI small area,"Cork, Cloyne and Ross",047033001,0,0,5,224
047304003,ROI small area,"Cork, Cloyne and Ross",047304003,0,3,0,253
047033004,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047230002,ROI small area,"Cork, Cloyne and Ross",047230002,0,6,6,409
047177004,ROI small area,"Cork, Cloyne and Ross",047177004,1,2,1,217
047058002,ROI small area,"Cork, Cloyne and Ross",047058002,0,0,3,321
047177003,ROI small area,"Cork, Cloyne and Ross",047177003,0,1,1,216
047035003,ROI small area,"Cork, Cloyne and Ross",047035003,0,2,2,253
047018003,ROI small area,"Cork, Cloyne and Ross",047018003,0,1,1,198
047018001,ROI small area,"Cork, Cloyne and Ross",047018001,3,4,6,367
047031001,ROI small area,"Cork, Cloyne and Ross",047031001,0,1,0,203
047221005/047221006,ROI small area,"Cork, Cloyne and Ross",047221005/047221006,0,3,1,173
047221003,ROI small area,"Cork, Cloyne and Ross",047221003,1,0,0,265
047221004,ROI small area,"Cork, Cloyne and Ross",047221004,0,1,3,210
047221013,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047221012,ROI small area,"Cork, Cloyne and Ross",047221012,0,6,14,245
047221007,ROI small area,"Cork, Cloyne and Ross",047221007,5,1,1,375
047210001,ROI small area,"Cork, Cloyne and Ross",047210001,2,2,4,491
047236001,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047236002,ROI small area,"Cork, Cloyne and Ross",047236002,0,1,7,373
047221001,ROI small area,"Cork, Cloyne and Ross",047221001,0,0,0,330
047306003,ROI small area,"Cork, Cloyne and Ross",047306003,1,4,4,259
047306002,ROI small area,"Cork, Cloyne and Ross",047306002,1,5,0,221
047068003,ROI small area,"Cork, Cloyne and Ross",047068003,0,5,0,78
047313003,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047313002,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047116005,ROI small area,"Cork, Cloyne and Ross",047116005,4,2,1,130
047050002/047050003/047050004,ROI small area,"Cork, Cloyne and Ross",047050002/047050003/047050004,0,0,0,126
047050001,ROI small area,"Cork, Cloyne and Ross",047050001,0,1,1,85
047116002,ROI small area,"Cork, Cloyne and Ross",047116002,0,0,0,132
047116001,ROI small area,"Cork, Cloyne and Ross",047116001,0,0,0,148
047200004,ROI small area,"Cork, Cloyne and Ross",047200004,0,1,1,201
047188006,ROI small area,"Cork, Cloyne and Ross",047188006,0,0,1,149
047188004,ROI small area,"Cork, Cloyne and Ross",047188004,0,0,1,133
047188003,ROI small area,"Cork, Cloyne and Ross",047188003,0,0,0,81
047241001,ROI small area,"Cork, Cloyne and Ross",047241001,0,0,2,123
047024003,ROI small area,"Cork, Cloyne and Ross",047024003,0,0,2,102
047287002/047287003,ROI small area,"Cork, Cloyne and Ross",047287002/047287003,1,1,2,156
047147001,ROI small area,"Cork, Cloyne and Ross",047147001,0,0,0,115
047148002/047148003,ROI small area,"Cork, Cloyne and Ross",047148002/047148003,1,1,4,147
047148001,ROI small area,"Cork, Cloyne and Ross",047148001,0,6,0,137
047024002,ROI small area,"Cork, Cloyne and Ross",047024002,0,0,0,126
047189002/047189003/047189004,ROI small area,"Cork, Cloyne and Ross",047189002/047189003/047189004,0,3,6,223
047004005,ROI small area,"Cork, Cloyne and Ross",047004005,0,0,0,161
047004004,ROI small area,"Cork, Cloyne and Ross",047004004,0,0,0,141
047293004,ROI small area,"Cork, Cloyne and Ross",047293004,0,1,1,161
047293006,ROI small area,"Cork, Cloyne and Ross",047293006,0,1,0,266
047004003,ROI small area,"Cork, Cloyne and Ross",047004003,0,0,0,107
047094002,ROI small area,"Cork, Cloyne and Ross",047094002,1,0,4,195
047108001,ROI small area,"Cork, Cloyne and Ross",047108001,0,0,1,201
047021001,ROI small area,"Cork, Cloyne and Ross",047021001,0,2,4,146
047147002,ROI small area,"Cork, Cloyne and Ross",047147002,0,0,0,151
047286001,ROI small area,"Cork, Cloyne and Ross",047286001,0,0,0,141
047204001,ROI small area,"Cork, Cloyne and Ross",047204001,0,0,1,182
047204002,ROI small area,"Cork, Cloyne and Ross",047204002,0,1,1,182
047002003/047002004,ROI small area,"Cork, Cloyne and Ross",047002003/047002004,0,2,0,100
047002002,ROI small area,"Cork, Cloyne and Ross",047002002,0,0,0,90
047187004/047187008,ROI small area,"Cork, Cloyne and Ross",047187004/047187008,1,1,1,183
047187005,ROI small area,"Cork, Cloyne and Ross",047187005,0,0,0,165
047286002,ROI small area,"Cork, Cloyne and Ross",047286002,2,3,3,172
047165002,ROI small area,"Cork, Cloyne and Ross",047165002,1,3,1,215
047251002,ROI small area,"Cork, Cloyne and Ross",047251002,0,1,0,149
047160005,ROI small area,"Cork, Cloyne and Ross",047160005,0,0,0,138
047160001,ROI small area,"Cork, Cloyne and Ross",047160001,0,1,3,311
047181002,ROI small area,"Cork, Cloyne and Ross",047181002,1,0,4,349
047083004/047083005,ROI small area,"Cork, Cloyne and Ross",047083004/047083005,1,0,2,274
047083001/047083002,ROI small area,"Cork, Cloyne and Ross",047083001/047083002,0,0,0,129
047293005,ROI small area,"Cork, Cloyne and Ross",047293005,0,5,1,244
047082002/047082003,ROI small area,"Cork, Cloyne and Ross",047082002/047082003,0,1,2,124
