area_code,type,diocese,sa_2022_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
047175001,ROI small area,"Cork, Cloyne and Ross",047175001,21,14,2,53,2,0,4,1,4,1,1,0,2,4
047064011,ROI small area,"Cork, Cloyne and Ross",047064011,20,25,1,48,3,0,4,2,4,1,1,0,0,2
047077013,ROI small area,"Cork, Cloyne and Ross",047077013,13,10,4,51,0,1,4,0,2,1,1,0,5,3
047240002,ROI small area,"Cork, Cloyne and Ross",047240002,15,18,7,67,5,5,5,2,2,0,0,0,2,2
047195001,ROI small area,"Cork, Cloyne and Ross",047195001,14,16,3,38,7,0,5,4,4,0,3,2,3,1
047240001,ROI small area,"Cork, Cloyne and Ross",047240001,10,18,3,45,8,1,6,0,2,0,0,2,1,1
047302001,ROI small area,"Cork, Cloyne and Ross",047302001,15,10,1,51,5,5,5,0,3,0,0,1,1,0
047190001,ROI small area,"Cork, Cloyne and Ross",047190001,27,34,11,45,6,3,11,0,2,0,1,0,4,8
047308001,ROI small area,"Cork, Cloyne and Ross",047308001,12,10,3,52,0,1,7,5,8,0,0,1,2,0
047143001,ROI small area,"Cork, Cloyne and Ross",047143001,22,13,3,64,6,2,10,0,3,0,2,2,3,0
047259001,ROI small area,"Cork, Cloyne and Ross",047259001,15,10,3,46,5,2,4,0,1,0,0,1,3,3
047143002,ROI small area,"Cork, Cloyne and Ross",047143002,13,14,6,59,3,3,4,0,3,0,1,0,1,1
047202004,ROI small area,"Cork, Cloyne and Ross",047202004,11,19,2,50,6,0,1,0,2,0,0,1,1,1
047102001,ROI small area,"Cork, Cloyne and Ross",047102001,8,10,0,36,2,2,3,0,3,0,0,1,0,0
047038001,ROI small area,"Cork, Cloyne and Ross",047038001,18,16,1,36,2,1,3,2,1,0,0,2,0,2
037125001,ROI small area,"Tuam, Limerick and Killaloe",037125001,27,22,7,41,5,1,10,1,3,1,1,1,4,3
037028001,ROI small area,"Tuam, Limerick and Killaloe",037028001,21,12,2,24,1,2,2,0,1,0,2,1,2,3
037047001,ROI small area,"Tuam, Limerick and Killaloe",037047001,19,12,2,8,2,1,4,2,0,0,1,0,0,3
037119001,ROI small area,"Tuam, Limerick and Killaloe",037119001,7,12,2,11,0,0,2,1,0,0,0,0,1,1
037137001,ROI small area,"Tuam, Limerick and Killaloe",037137001,9,10,1,3,0,0,1,0,0,0,0,1,1,1
037065001/037065002,ROI small area,"Tuam, Limerick and Killaloe",037065001/037065002,20,11,1,17,2,2,3,1,1,0,0,0,1,3
037022001,ROI small area,"Tuam, Limerick and Killaloe",037022001,14,5,1,12,2,1,2,0,1,0,1,0,1,0
037132001,ROI small area,"Tuam, Limerick and Killaloe",037132001,18,12,2,15,2,1,1,2,1,1,1,0,1,2
067135002,ROI small area,"Tuam, Limerick and Killaloe",067135002,16,20,3,30,4,4,5,0,3,0,1,1,0,0
067135001,ROI small area,"Tuam, Limerick and Killaloe",067135001,22,11,1,30,0,1,5,1,3,0,0,2,3,3
037001001,ROI small area,"Tuam, Limerick and Killaloe",037001001,25,10,2,19,0,0,2,0,0,0,0,1,1,2
037001003/037001004,ROI small area,"Tuam, Limerick and Killaloe",037001003/037001004,21,22,4,32,1,1,2,1,1,0,0,1,2,3
067154002,ROI small area,"Tuam, Limerick and Killaloe",067154002,10,14,2,33,6,1,5,2,0,0,0,0,2,1
067154004/067154005,ROI small area,"Tuam, Limerick and Killaloe",067154004/067154005,9,11,1,29,4,2,5,1,0,1,3,1,3,1
037148001,ROI small area,"Tuam, Limerick and Killaloe",037148001,13,7,4,27,5,2,5,0,0,0,0,0,1,1
037045002,ROI small area,"Tuam, Limerick and Killaloe",037045002,17,22,2,34,1,1,2,0,2,0,0,0,3,0
037016001,ROI small area,"Tuam, Limerick and Killaloe",037016001,22,12,1,31,5,1,6,1,1,0,0,1,0,5
037102001,ROI small area,"Tuam, Limerick and Killaloe",037102001,7,9,4,29,5,1,4,0,1,1,1,1,1,2
037064001,ROI small area,"Tuam, Limerick and Killaloe",037064001,28,9,2,19,2,1,8,2,2,0,1,1,1,3
037003001,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
037048001,ROI small area,"Tuam, Limerick and Killaloe",037048001,18,10,4,17,1,0,2,1,0,0,1,1,3,4
067033001,ROI small area,"Tuam, Limerick and Killaloe",067033001,27,18,6,30,1,3,6,2,1,0,0,3,1,2
067011003,ROI small area,"Tuam, Limerick and Killaloe",067011003,9,11,1,32,5,0,9,0,1,0,0,2,1,3
067033002,ROI small area,"Tuam, Limerick and Killaloe",067033002,19,17,5,42,2,1,3,1,2,0,0,0,0,1
067011001,ROI small area,"Tuam, Limerick and Killaloe",067011001,22,16,9,31,5,1,2,1,0,0,1,1,1,4
037115001,ROI small area,"Tuam, Limerick and Killaloe",037115001,18,8,2,20,2,3,1,0,2,1,0,1,0,3
037081001,ROI small area,"Tuam, Limerick and Killaloe",037081001,28,19,3,28,2,3,6,3,2,0,0,2,2,4
127006001,ROI small area,"Cork, Cloyne and Ross",127006001,39,25,3,36,9,1,8,2,2,1,0,0,3,4
127072002,ROI small area,"Tuam, Limerick and Killaloe",127072002,15,13,3,26,3,2,5,0,1,0,0,1,0,0
217053001,ROI small area,"Tuam, Limerick and Killaloe",217053001,33,17,2,25,6,2,6,0,1,0,0,0,6,1
217072002,ROI small area,"Tuam, Limerick and Killaloe",217072002,11,14,2,20,4,2,5,1,0,0,0,1,0,0
217153001,ROI small area,"Tuam, Limerick and Killaloe",217153001,40,21,4,50,3,2,10,3,3,0,0,0,1,0
217034001,ROI small area,"Tuam, Limerick and Killaloe",217034001,24,17,5,44,6,4,9,0,3,0,0,1,3,0
217053002,ROI small area,"Tuam, Limerick and Killaloe",217053002,28,18,2,31,2,1,1,1,4,0,0,1,3,0
217157001,ROI small area,"Tuam, Limerick and Killaloe",217157001,21,13,2,19,5,1,8,1,9,1,3,3,2,1
217095001,ROI small area,"Tuam, Limerick and Killaloe",217095001,20,14,2,36,4,2,6,1,2,0,0,0,2,3
217026003,ROI small area,"Tuam, Limerick and Killaloe",217026003,22,12,2,23,5,0,8,1,0,0,2,2,0,0
217160002,ROI small area,"Tuam, Limerick and Killaloe",217160002,11,17,2,25,1,2,8,0,4,0,0,0,2,2
127100001,ROI small area,"Tuam, Limerick and Killaloe",127100001,13,11,3,31,3,0,7,2,2,0,0,1,4,0
127133001,ROI small area,"Tuam, Limerick and Killaloe",127133001,23,14,3,35,4,2,3,1,4,1,0,1,5,2
217063001,ROI small area,"Tuam, Limerick and Killaloe",217063001,35,17,2,33,4,4,9,0,0,0,1,1,2,3
127133002,ROI small area,"Tuam, Limerick and Killaloe",127133002,18,14,3,39,5,1,2,3,2,2,0,5,4,1
127117003,ROI small area,"Tuam, Limerick and Killaloe",127117003,15,18,1,30,4,1,6,2,6,0,2,0,3,0
127082005,ROI small area,"Tuam, Limerick and Killaloe",127082005,20,24,2,39,1,3,9,0,1,0,2,1,3,3
127035002,ROI small area,"Tuam, Limerick and Killaloe",127035002,16,18,5,30,5,2,6,1,2,0,1,1,1,2
127117002,ROI small area,"Tuam, Limerick and Killaloe",127117002,29,22,1,47,5,3,3,1,2,0,1,0,1,1
127039002,ROI small area,"Tuam, Limerick and Killaloe",127039002,19,27,5,47,3,1,6,1,3,1,2,3,2,1
127058001,ROI small area,"Tuam, Limerick and Killaloe",127058001,24,27,4,37,4,0,5,0,0,1,0,1,1,1
127058003,ROI small area,"Tuam, Limerick and Killaloe",127058003,23,17,3,25,1,2,3,0,5,1,1,2,1,1
217106001,ROI small area,"Tuam, Limerick and Killaloe",217106001,15,14,1,35,6,2,12,0,3,0,0,0,3,1
217147001,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217017001,ROI small area,"Tuam, Limerick and Killaloe",217017001,20,18,1,34,1,3,3,4,3,0,0,0,4,3
217142001,ROI small area,"Tuam, Limerick and Killaloe",217142001,15,9,3,31,7,1,6,1,1,1,1,0,2,3
217110004,ROI small area,"Tuam, Limerick and Killaloe",217110004,24,16,3,27,11,2,8,1,1,1,0,0,1,1
127083001,ROI small area,"Cork, Cloyne and Ross",127083001,31,16,2,47,5,0,9,2,1,1,0,1,1,1
187052003,ROI small area,Meath and Kildare,187052003,20,21,4,48,4,2,4,2,3,0,1,2,3,0
187017002,ROI small area,Meath and Kildare,187017002,29,18,1,47,1,0,7,1,3,3,1,2,0,1
187017003,ROI small area,Meath and Kildare,187017003,18,17,1,57,4,1,8,1,4,0,1,1,3,1
187023001,ROI small area,Meath and Kildare,187023001,25,18,1,48,5,4,4,2,8,2,0,6,4,1
187068001,ROI small area,Meath and Kildare,187068001,8,6,3,19,1,5,3,0,0,0,3,1,2,1
187017001,ROI small area,Meath and Kildare,187017001,21,16,3,43,3,1,3,1,4,0,0,2,4,1
187005002,ROI small area,Meath and Kildare,187005002,12,18,7,35,7,1,8,2,5,0,0,1,4,0
187042004,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187026002,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187064001,ROI small area,Meath and Kildare,187064001,11,14,2,33,3,2,4,1,4,0,3,0,3,2
187014001,ROI small area,Meath and Kildare,187014001,22,21,0,69,3,2,7,1,9,0,3,2,3,14
187002001/187038001,ROI small area,Meath and Kildare,187002001/187038001,31,41,10,55,7,7,9,0,5,0,1,0,4,5
187007002,ROI small area,Meath and Kildare,187007002,15,23,9,49,3,2,4,0,1,0,1,3,1,1
187020001,ROI small area,Meath and Kildare,187020001,21,15,4,56,5,2,5,1,4,1,1,1,4,12
187020002,ROI small area,Meath and Kildare,187020002,31,15,8,35,8,1,14,3,10,0,1,1,4,11
187063002,ROI small area,Meath and Kildare,187063002,19,16,3,35,0,0,2,1,4,0,1,0,2,0
187063001,ROI small area,Meath and Kildare,187063001,18,21,8,50,2,1,7,1,4,1,2,0,3,2
187035002,ROI small area,Meath and Kildare,187035002,16,22,5,56,7,2,8,1,7,0,1,8,2,11
237088001,ROI small area,Meath and Kildare,237088001,23,27,3,36,5,1,7,1,1,1,1,3,4,1
237082001,ROI small area,Meath and Kildare,237082001,15,13,3,34,4,0,4,3,2,0,0,2,1,1
187048001,ROI small area,Meath and Kildare,187048001,26,16,7,56,6,5,6,1,3,0,3,4,3,1
187024001,ROI small area,Meath and Kildare,187024001,16,13,3,39,7,1,8,0,6,0,0,4,3,0
237074001,ROI small area,Meath and Kildare,237074001,17,27,1,57,1,3,2,1,6,1,1,0,2,6
237012002,ROI small area,Meath and Kildare,237012002,26,13,6,43,3,2,6,1,2,2,1,4,3,5
237024001,ROI small area,Meath and Kildare,237024001,13,17,1,32,1,1,5,0,4,1,1,1,0,0
217052001,ROI small area,"Tuam, Limerick and Killaloe",217052001,21,13,5,35,2,0,6,1,1,0,1,1,1,2
217123002,ROI small area,"Tuam, Limerick and Killaloe",217123002,18,10,2,15,5,1,6,0,0,0,0,0,0,2
217123001,ROI small area,"Tuam, Limerick and Killaloe",217123001,11,15,3,15,0,1,4,2,2,1,2,0,1,1
217084001,ROI small area,"Tuam, Limerick and Killaloe",217084001,24,19,2,31,8,1,5,1,2,0,2,1,1,2
067172001,ROI small area,"Tuam, Limerick and Killaloe",067172001,21,16,4,36,7,1,6,0,2,1,0,1,4,1
217149001,ROI small area,"Tuam, Limerick and Killaloe",217149001,14,7,3,17,1,1,2,2,1,0,0,0,1,1
217146001,ROI small area,"Tuam, Limerick and Killaloe",217146001,25,15,8,43,4,2,8,2,0,0,0,1,0,2
187062001,ROI small area,"Tuam, Limerick and Killaloe",187062001,21,25,3,38,3,3,9,0,3,0,1,0,2,2
187033001,ROI small area,"Tuam, Limerick and Killaloe",187033001,23,26,9,46,3,3,5,3,2,2,1,0,3,5
187066001,ROI small area,"Tuam, Limerick and Killaloe",187066001,15,21,1,36,1,0,7,0,5,1,1,1,2,2
217152002,ROI small area,"Tuam, Limerick and Killaloe",217152002,26,32,6,53,2,1,4,3,3,0,0,2,3,2
187066002,ROI small area,"Tuam, Limerick and Killaloe",187066002,24,11,1,34,3,0,3,0,3,0,2,1,0,4
187079002,ROI small area,"Tuam, Limerick and Killaloe",187079002,16,12,5,22,1,1,1,1,1,0,1,0,4,0
217060002,ROI small area,"Cork, Cloyne and Ross",217060002,16,13,5,28,3,2,3,3,3,0,0,2,2,1
227031001,ROI small area,"Cork, Cloyne and Ross",227031001,26,23,4,33,1,0,7,1,3,0,2,0,4,0
157006002,ROI small area,"Tuam, Limerick and Killaloe",157006002,19,16,2,12,0,0,5,0,0,0,0,0,4,1
157006001,ROI small area,"Tuam, Limerick and Killaloe",157006001,28,22,0,32,2,0,4,1,1,0,1,0,0,1
067108001,ROI small area,"Tuam, Limerick and Killaloe",067108001,10,9,0,15,0,2,2,0,0,0,1,0,0,0
067161002,ROI small area,"Tuam, Limerick and Killaloe",067161002,11,10,3,12,1,0,2,0,0,0,0,0,0,8
067161001,ROI small area,"Tuam, Limerick and Killaloe",067161001,11,10,2,8,1,1,3,1,0,0,0,0,1,0
067076001,ROI small area,"Tuam, Limerick and Killaloe",067076001,20,16,2,16,0,0,7,1,1,0,0,1,1,1
067193001,ROI small area,"Tuam, Limerick and Killaloe",067193001,9,5,0,10,0,0,3,0,0,0,1,2,0,1
067069003,ROI small area,"Tuam, Limerick and Killaloe",067069003,21,13,1,16,3,1,6,0,0,0,0,0,1,0
067064002,ROI small area,"Tuam, Limerick and Killaloe",067064002,23,21,4,21,7,0,3,2,1,0,0,1,2,1
067064001,ROI small area,"Tuam, Limerick and Killaloe",067064001,34,19,2,19,7,0,9,0,1,0,0,2,1,2
157128001,ROI small area,"Tuam, Limerick and Killaloe",157128001,22,6,5,10,1,2,2,0,1,0,0,0,1,1
157095001,ROI small area,"Tuam, Limerick and Killaloe",157095001,13,10,1,11,0,1,4,0,0,0,0,0,1,1
157076001,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157075001,ROI small area,"Tuam, Limerick and Killaloe",157075001,22,16,3,16,1,2,6,0,1,0,2,2,3,2
157104001,ROI small area,"Tuam, Limerick and Killaloe",157104001,12,16,1,22,2,1,8,3,1,0,2,0,0,0
157019002,ROI small area,"Tuam, Limerick and Killaloe",157019002,13,14,0,12,0,1,3,0,1,0,1,1,2,0
157019001,ROI small area,"Tuam, Limerick and Killaloe",157019001,16,10,1,11,3,0,1,0,1,0,0,0,3,2
157138002,ROI small area,"Tuam, Limerick and Killaloe",157138002,16,11,3,32,2,2,6,1,6,0,0,2,2,0
157138001,ROI small area,"Tuam, Limerick and Killaloe",157138001,14,15,3,38,3,2,4,0,2,0,0,1,1,2
157045001,ROI small area,"Tuam, Limerick and Killaloe",157045001,16,13,2,23,1,0,0,2,1,0,0,0,1,1
157139001,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157139008,ROI small area,"Tuam, Limerick and Killaloe",157139008,12,20,0,13,1,1,5,0,1,0,0,1,4,0
157074003/157074005/157074006,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157060005,ROI small area,"Tuam, Limerick and Killaloe",157060005,27,23,1,12,2,3,7,1,0,0,0,1,1,2
157074004,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157139003,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157001002,ROI small area,"Tuam, Limerick and Killaloe",157001002,21,13,0,14,2,1,6,2,0,0,1,0,3,1
157116002,ROI small area,"Tuam, Limerick and Killaloe",157116002,12,13,4,15,3,0,5,1,0,0,0,0,3,2
157104002,ROI small area,"Tuam, Limerick and Killaloe",157104002,19,12,4,20,2,0,5,0,1,1,0,1,1,1
157102001/157102008,ROI small area,"Tuam, Limerick and Killaloe",157102001/157102008,15,11,2,24,1,2,2,1,2,0,0,1,3,1
157063003/157063004/157063005,ROI small area,"Tuam, Limerick and Killaloe",157063003/157063004/157063005,16,19,3,39,3,0,7,0,3,0,0,1,2,3
157107003,ROI small area,"Tuam, Limerick and Killaloe",157107003,12,13,3,28,5,0,5,1,1,0,0,1,1,1
157072001/157072005,ROI small area,"Tuam, Limerick and Killaloe",157072001/157072005,17,17,1,26,2,0,5,1,1,1,0,1,1,3
157053002,ROI small area,"Tuam, Limerick and Killaloe",157053002,26,20,9,57,4,4,7,1,2,0,0,1,1,1
157087002,ROI small area,"Tuam, Limerick and Killaloe",157087002,16,18,5,33,3,0,5,0,1,0,0,0,0,0
157087005,ROI small area,"Tuam, Limerick and Killaloe",157087005,14,12,1,25,3,1,4,0,3,0,0,0,1,1
157087001,ROI small area,"Tuam, Limerick and Killaloe",157087001,19,14,1,23,2,1,3,2,0,0,1,0,5,1
157127003/157127004,ROI small area,"Tuam, Limerick and Killaloe",157127003/157127004,23,19,2,33,3,1,8,2,2,1,1,2,1,1
157127001/157127007,ROI small area,"Tuam, Limerick and Killaloe",157127001/157127007,25,15,5,20,2,3,5,0,1,0,1,1,2,6
157060001/157060002,ROI small area,"Tuam, Limerick and Killaloe",157060001/157060002,23,16,4,23,4,2,9,1,0,0,0,3,2,1
157024002/157024003,ROI small area,"Tuam, Limerick and Killaloe",157024002/157024003,25,9,1,15,2,0,10,0,0,0,0,0,2,2
157126001/157126005,ROI small area,"Tuam, Limerick and Killaloe",157126001/157126005,22,14,2,44,5,4,10,2,5,0,3,5,3,0
157072002,ROI small area,"Tuam, Limerick and Killaloe",157072002,5,19,2,29,1,3,7,0,2,0,0,1,3,0
157062001,ROI small area,"Tuam, Limerick and Killaloe",157062001,14,20,1,19,5,2,3,0,0,1,0,1,0,1
157142001,ROI small area,"Tuam, Limerick and Killaloe",157142001,17,9,2,14,2,5,4,0,1,0,1,0,1,6
237021001,ROI small area,Meath and Kildare,237021001,19,23,9,51,2,2,7,0,2,2,0,2,4,0
237046001,ROI small area,Meath and Kildare,237046001,13,18,6,71,4,3,9,2,1,2,1,2,1,0
187004001,ROI small area,Meath and Kildare,187004001,11,19,4,29,4,0,3,1,0,0,0,1,0,1
087017002,ROI small area,Meath and Kildare,087017002,19,19,1,32,5,1,3,2,4,0,0,3,4,2
187007001,ROI small area,Meath and Kildare,187007001,14,20,1,43,3,2,3,2,5,0,3,0,5,1
187058001,ROI small area,Meath and Kildare,187058001,11,8,1,23,2,1,5,0,2,0,1,1,2,3
187022001,ROI small area,Meath and Kildare,187022001,19,12,2,35,1,1,3,1,0,0,2,2,1,3
237041001,ROI small area,Meath and Kildare,237041001,34,24,3,64,5,2,6,2,2,2,0,2,2,0
237052003,ROI small area,Meath and Kildare,237052003,8,12,5,32,2,1,2,0,4,0,0,2,0,3
237051002,ROI small area,Meath and Kildare,237051002,13,16,5,37,4,1,4,0,4,0,1,3,1,3
237051001,ROI small area,Meath and Kildare,237051001,17,16,2,46,2,3,6,1,1,0,0,0,1,5
187022002,ROI small area,Meath and Kildare,187022002,12,14,3,40,2,1,5,0,1,0,0,0,2,6
167015001,ROI small area,Meath and Kildare,167015001,15,9,0,28,4,4,8,1,2,0,1,2,3,3
167008001,ROI small area,Meath and Kildare,167008001,31,27,10,70,4,1,9,2,4,1,3,2,4,3
087020001,ROI small area,Meath and Kildare,087020001,18,11,9,37,9,2,9,0,1,0,0,3,0,1
167005002,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167005001,ROI small area,Meath and Kildare,167005001,21,9,3,26,2,2,5,0,3,0,0,1,0,10
087037001,ROI small area,Meath and Kildare,087037001,21,28,6,67,5,3,3,5,3,0,0,1,4,9
087054001,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
087027001,ROI small area,Meath and Kildare,087027001,14,17,7,62,9,2,10,3,4,1,4,3,4,8
087056001,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
087055001,ROI small area,Meath and Kildare,087055001,25,29,1,35,9,0,4,0,3,1,1,3,0,7
087055007,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
087070001,ROI small area,Meath and Kildare,087070001,26,31,6,57,8,1,8,3,5,0,1,2,0,4
087030003,ROI small area,Meath and Kildare,087030003,11,15,2,40,2,2,4,1,5,0,1,2,2,6
087076001,ROI small area,Meath and Kildare,087076001,24,22,4,55,2,2,5,4,8,1,2,4,4,2
087029001,ROI small area,Meath and Kildare,087029001,31,37,8,50,6,1,2,1,5,0,3,3,3,4
087017001,ROI small area,Meath and Kildare,087017001,21,20,2,41,1,2,6,2,3,0,2,3,1,6
087089001,ROI small area,Meath and Kildare,087089001,19,15,5,42,6,5,9,0,4,0,2,2,4,1
087028001,ROI small area,Meath and Kildare,087028001,27,20,9,51,5,4,9,2,6,1,0,4,0,9
087058001,ROI small area,Meath and Kildare,087058001,19,22,3,55,6,2,12,1,1,0,4,7,2,1
087058002,ROI small area,Meath and Kildare,087058002,20,12,1,45,3,2,7,0,7,0,0,4,4,1
167036002,ROI small area,Meath and Kildare,167036002,15,15,3,40,3,0,6,2,4,0,0,3,4,5
087007001,ROI small area,Meath and Kildare,087007001,28,20,3,43,3,4,5,2,3,1,0,1,4,5
167037012,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167073001,ROI small area,Meath and Kildare,167073001,14,22,1,30,6,1,4,1,3,0,1,2,3,1
087011004,ROI small area,Meath and Kildare,087011004,16,15,1,49,2,1,1,0,3,0,0,3,2,2
087011006,ROI small area,Meath and Kildare,087011006,10,17,1,51,3,2,4,2,3,1,0,0,1,3
187049001,ROI small area,"Tuam, Limerick and Killaloe",187049001,33,25,6,52,6,3,8,0,5,0,2,1,1,1
187039001,ROI small area,"Tuam, Limerick and Killaloe",187039001,15,18,3,29,1,2,3,0,2,0,1,0,4,0
187043001,ROI small area,"Tuam, Limerick and Killaloe",187043001,19,20,2,31,4,0,14,1,3,0,0,3,4,0
187039002,ROI small area,"Tuam, Limerick and Killaloe",187039002,11,16,3,47,2,1,6,0,2,0,3,0,1,0
187001001,ROI small area,"Tuam, Limerick and Killaloe",187001001,20,11,4,26,3,1,0,1,1,0,1,2,2,0
187074001,ROI small area,"Tuam, Limerick and Killaloe",187074001,9,9,1,20,0,1,4,1,0,0,0,1,4,0
107019001,ROI small area,"Tuam, Limerick and Killaloe",107019001,12,15,0,23,3,1,2,1,2,2,0,0,1,0
107019004,ROI small area,"Tuam, Limerick and Killaloe",107019004,23,14,1,25,1,1,6,1,1,1,1,1,1,0
107075001,ROI small area,"Tuam, Limerick and Killaloe",107075001,5,5,0,11,1,0,2,1,2,0,0,0,2,1
107067001,ROI small area,"Tuam, Limerick and Killaloe",107067001,8,10,1,21,3,1,1,1,1,1,0,0,1,0
107068001,ROI small area,Meath and Kildare,107068001,30,23,2,43,8,2,12,3,6,1,0,3,4,2
107085001,ROI small area,Meath and Kildare,107085001,22,15,2,42,2,2,10,0,0,0,1,1,3,3
107046002/03,ROI small area,Meath and Kildare,107046002/03,9,10,1,38,1,4,3,4,1,0,1,1,1,0
107050001,ROI small area,Meath and Kildare,107050001,14,8,1,36,4,1,3,0,3,0,0,0,2,0
187045002,ROI small area,Meath and Kildare,187045002,15,23,6,31,3,2,1,1,2,0,3,1,2,1
187045001,ROI small area,Meath and Kildare,187045001,18,19,10,49,5,1,5,1,2,1,0,2,0,1
187008001,ROI small area,Meath and Kildare,187008001,23,19,2,58,7,4,7,3,4,0,1,0,5,1
107054001,ROI small area,Meath and Kildare,107054001,37,28,3,75,6,2,8,5,3,0,0,3,1,3
087067016,ROI small area,Meath and Kildare,087067016,22,17,0,33,4,0,4,0,4,0,0,5,2,2
087078001,ROI small area,Meath and Kildare,087078001,6,13,2,21,1,0,3,1,3,0,0,2,0,3
087049001,ROI small area,Meath and Kildare,087049001,23,25,4,52,5,2,10,1,2,2,1,4,2,1
087061002,ROI small area,Meath and Kildare,087061002,18,22,5,55,7,4,10,3,2,0,2,2,3,6
087008004,ROI small area,Meath and Kildare,087008004,11,12,1,25,0,2,8,3,0,1,0,2,1,5
087077001,ROI small area,Meath and Kildare,087077001,21,20,1,42,6,0,8,4,1,0,1,4,3,9
187044001,ROI small area,Meath and Kildare,187044001,19,21,4,53,2,0,11,1,3,0,1,2,3,0
237001001,ROI small area,Meath and Kildare,237001001,15,20,2,50,5,0,2,2,2,0,0,1,4,0
237073001,ROI small area,Meath and Kildare,237073001,17,10,3,28,2,0,5,1,1,0,0,4,2,0
187051001,ROI small area,Meath and Kildare,187051001,24,16,10,41,7,1,6,2,2,0,0,1,0,0
237103001,ROI small area,Meath and Kildare,237103001,20,20,3,40,2,3,8,0,3,0,1,2,2,0
237061001,ROI small area,Meath and Kildare,237061001,31,29,2,51,4,2,17,1,1,0,0,0,1,1
237025001,ROI small area,Meath and Kildare,237025001,12,7,3,37,2,1,5,1,3,0,3,1,2,4
237025003,ROI small area,Meath and Kildare,237025003,21,15,3,34,4,0,6,2,3,0,1,1,0,1
197056001,ROI small area,"Kilmore, Elphin and Ardagh",197056001,37,13,1,31,2,0,6,2,0,0,2,0,1,1
197045001,ROI small area,"Tuam, Limerick and Killaloe",197045001,25,29,4,54,4,0,13,0,5,2,0,4,2,3
197014003,ROI small area,"Tuam, Limerick and Killaloe",197014003,15,13,2,29,3,2,3,2,0,0,1,1,0,0
197014002,ROI small area,"Tuam, Limerick and Killaloe",197014002,17,12,4,37,1,1,10,0,2,0,1,2,1,2
197090001,ROI small area,"Tuam, Limerick and Killaloe",197090001,27,17,2,46,2,2,10,3,0,1,0,1,3,0
197038001,ROI small area,"Tuam, Limerick and Killaloe",197038001,20,13,6,39,1,1,6,0,3,0,1,1,4,0
197030002,ROI small area,"Tuam, Limerick and Killaloe",197030002,27,13,2,36,3,0,10,0,3,0,0,0,1,0
197105001,ROI small area,"Kilmore, Elphin and Ardagh",197105001,24,18,4,40,4,1,6,2,2,0,2,0,1,2
197033001,ROI small area,"Kilmore, Elphin and Ardagh",197033001,34,23,1,55,6,2,5,2,4,1,0,2,2,1
197018002,ROI small area,"Kilmore, Elphin and Ardagh",197018002,12,15,0,37,3,3,5,2,4,0,1,2,2,0
187078001,ROI small area,"Tuam, Limerick and Killaloe",187078001,27,26,4,43,3,2,10,1,3,0,2,1,6,4
187019003,ROI small area,Meath and Kildare,187019003,33,23,4,41,7,3,7,3,1,0,2,3,6,2
187041001,ROI small area,Meath and Kildare,187041001,24,21,3,32,4,3,5,3,5,0,0,2,5,2
187059001,ROI small area,Meath and Kildare,187059001,36,20,1,47,4,0,3,3,3,1,0,2,3,3
187061001,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187067002,ROI small area,Meath and Kildare,187067002,28,19,2,62,3,3,10,1,1,0,1,3,1,4
