area_code,type,diocese,sa_2022_code,catholic,other_religion,no_religion,not_stated
047019002,ROI small area,"Cork, Cloyne and Ross",047019002,150,6,16,6
047019003,ROI small area,"Cork, Cloyne and Ross",047019003,170,3,18,8
047105001,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047019001,ROI small area,"Cork, Cloyne and Ross",047019001,195,4,37,22
047023002,ROI small area,"Cork, Cloyne and Ross",047023002,302,24,55,15
047173001/01,ROI small area,"Cork, Cloyne and Ross",047173001/01,171,39,67,18
207020003,ROI small area,"Kilmore, Elphin and Ardagh",207020003,152,65,28,5
207060001,ROI small area,"Kilmore, Elphin and Ardagh",207060001,118,33,25,3
207027002,ROI small area,"Kilmore, Elphin and Ardagh",207027002,175,11,17,16
207027005,ROI small area,"Kilmore, Elphin and Ardagh",207027005,65,3,20,9
207026006,ROI small area,"Kilmore, Elphin and Ardagh",207026006,156,8,29,15
127130005,ROI small area,"Tuam, Limerick and Killaloe",127130005,174,12,13,7
127026002,ROI small area,"Tuam, Limerick and Killaloe",127026002,372,23,42,13
197011015,ROI small area,"Tuam, Limerick and Killaloe",197011015,96,7,18,2
207032002,ROI small area,"Tuam, Limerick and Killaloe",207032002,96,4,17,10
207032003,ROI small area,"Tuam, Limerick and Killaloe",207032003,148,20,32,1
207033003,ROI small area,"Tuam, Limerick and Killaloe",207033003,128,12,10,5
157007003,ROI small area,"Tuam, Limerick and Killaloe",157007003,113,1,13,3
157007002,ROI small area,"Tuam, Limerick and Killaloe",157007002,162,3,8,3
157132003,ROI small area,"Tuam, Limerick and Killaloe",157132003,101,1,4,4
157132004,ROI small area,"Tuam, Limerick and Killaloe",157132004,76,2,4,6
157132002,ROI small area,"Tuam, Limerick and Killaloe",157132002,140,2,11,7
157007006,ROI small area,"Tuam, Limerick and Killaloe",157007006,141,3,4,4
157008006,ROI small area,"Tuam, Limerick and Killaloe",157008006,217,6,14,7
157008005,ROI small area,"Tuam, Limerick and Killaloe",157008005,199,6,8,7
157081003,ROI small area,"Tuam, Limerick and Killaloe",157081003,149,10,15,9
167028001,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
167003005,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
167003006,ROI small area,Meath and Kildare,167003006,270,17,24,12
167038011,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
167038001,ROI small area,Meath and Kildare,167038001,259,36,36,10
167028013,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
167061001,ROI small area,Meath and Kildare,167061001,234,15,38,6
147030003,ROI small area,Meath and Kildare,147030003,275,20,61,8
147030002,ROI small area,Meath and Kildare,147030002,232,9,38,15
147035004,ROI small area,Meath and Kildare,147035004,231,3,42,11
167082001,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
217129003,ROI small area,"Tuam, Limerick and Killaloe",217129003,159,3,15,3
217135005,ROI small area,"Tuam, Limerick and Killaloe",217135005,298,14,16,13
217108001,ROI small area,"Tuam, Limerick and Killaloe",217108001,206,33,26,3
217135002,ROI small area,"Tuam, Limerick and Killaloe",217135002,183,4,19,9
217135003,ROI small area,"Tuam, Limerick and Killaloe",217135003,218,16,21,1
217020001,ROI small area,"Tuam, Limerick and Killaloe",217020001,258,9,23,9
207012002,ROI small area,"Tuam, Limerick and Killaloe",207012002,141,12,18,12
207030005,ROI small area,"Tuam, Limerick and Killaloe",207030005,238,18,26,3
137017002,ROI small area,"Kilmore, Elphin and Ardagh",137017002,215,16,14,11
137017003,ROI small area,"Kilmore, Elphin and Ardagh",137017003,290,9,32,11
137004003,ROI small area,"Kilmore, Elphin and Ardagh",137004003,175,5,22,11
137032002,ROI small area,"Kilmore, Elphin and Ardagh",137032002,229,8,24,4
137004002,ROI small area,"Kilmore, Elphin and Ardagh",137004002,215,7,30,31
137029010,ROI small area,"Kilmore, Elphin and Ardagh",137029010,112,43,13,108
237007001,ROI small area,"Kilmore, Elphin and Ardagh",237007001,119,15,26,1
137020002,ROI small area,"Kilmore, Elphin and Ardagh",137020002,143,15,12,26
137047001,ROI small area,"Kilmore, Elphin and Ardagh",137047001,168,9,15,18
137029001,ROI small area,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
137023001,ROI small area,"Kilmore, Elphin and Ardagh",137023001,106,14,19,6
137040001,ROI small area,"Kilmore, Elphin and Ardagh",137040001,169,15,3,1
137028001,ROI small area,"Kilmore, Elphin and Ardagh",137028001,114,9,6,0
137046001,ROI small area,"Kilmore, Elphin and Ardagh",137046001,315,15,22,15
197031001,ROI small area,"Kilmore, Elphin and Ardagh",197031001,214,0,20,8
197020001,ROI small area,"Kilmore, Elphin and Ardagh",197020001,136,5,7,0
197069001,ROI small area,"Kilmore, Elphin and Ardagh",197069001,87,4,19,3
197059001,ROI small area,"Kilmore, Elphin and Ardagh",197059001,153,16,27,20
027061001,ROI small area,"Kilmore, Elphin and Ardagh",027061001,226,15,23,11
027061002,ROI small area,"Kilmore, Elphin and Ardagh",027061002,384,30,41,5
027050002,ROI small area,"Kilmore, Elphin and Ardagh",027050002,179,57,14,6
027052001,ROI small area,Meath and Kildare,027052001,114,7,23,4
027022001,ROI small area,Meath and Kildare,027022001,218,20,33,10
027022002,ROI small area,Meath and Kildare,027022002,168,16,28,3
197072002,ROI small area,"Kilmore, Elphin and Ardagh",197072002,162,7,22,5
197059004,ROI small area,"Kilmore, Elphin and Ardagh",197059004,152,3,12,11
197010001,ROI small area,"Kilmore, Elphin and Ardagh",197010001,150,5,23,2
117030005,ROI small area,"Kilmore, Elphin and Ardagh",117030005,133,8,16,12
117030002,ROI small area,"Kilmore, Elphin and Ardagh",117030002,164,4,13,12
197108001,ROI small area,"Tuam, Limerick and Killaloe",197108001,100,7,13,5
197049001,ROI small area,"Kilmore, Elphin and Ardagh",197049001,183,12,19,1
197095001,ROI small area,"Kilmore, Elphin and Ardagh",197095001,162,25,15,1
197108002,ROI small area,"Tuam, Limerick and Killaloe",197108002,126,5,10,1
197067002,ROI small area,"Tuam, Limerick and Killaloe",197067002,170,21,47,23
197067001,ROI small area,"Tuam, Limerick and Killaloe",197067001,94,7,34,4
197052006,ROI small area,"Kilmore, Elphin and Ardagh",197052006,116,7,18,7
117015012,ROI small area,"Kilmore, Elphin and Ardagh",117015012,221,9,27,8
197074001,ROI small area,"Kilmore, Elphin and Ardagh",197074001,254,3,23,2
117015003,ROI small area,"Kilmore, Elphin and Ardagh",117015003,131,33,23,2
237093001,ROI small area,Meath and Kildare,237093001,184,14,18,0
237093002,ROI small area,Meath and Kildare,237093002,297,9,9,3
237052002,ROI small area,Meath and Kildare,237052002,207,6,16,7
237052001,ROI small area,Meath and Kildare,237052001,254,9,12,17
237084001,ROI small area,Meath and Kildare,237084001,218,1,23,7
237007002,ROI small area,Meath and Kildare,237007002,222,85,32,12
237084002,ROI small area,Meath and Kildare,237084002,196,10,21,4
237071001,ROI small area,Meath and Kildare,237071001,210,17,43,2
237096001,ROI small area,Meath and Kildare,237096001,203,12,11,10
237099001,ROI small area,Meath and Kildare,237099001,175,10,9,13
237099002,ROI small area,Meath and Kildare,237099002,200,11,17,14
237065006,ROI small area,Meath and Kildare,237065006,207,25,24,13
237065003,ROI small area,Meath and Kildare,237065003,165,6,22,3
167065025,ROI small area,Meath and Kildare,167065025,320,19,28,16
167071005,ROI small area,Meath and Kildare,167071005,233,6,16,5
027046001,ROI small area,"Kilmore, Elphin and Ardagh",027046001,201,47,6,28
027077001,ROI small area,"Kilmore, Elphin and Ardagh",027077001,221,16,9,3
177031003,ROI small area,"Kilmore, Elphin and Ardagh",177031003,253,24,34,6
027044002,ROI small area,"Kilmore, Elphin and Ardagh",027044002,182,12,8,5
177031001,ROI small area,"Kilmore, Elphin and Ardagh",177031001,214,18,6,4
027051001,ROI small area,"Kilmore, Elphin and Ardagh",027051001,175,17,13,8
177031002,ROI small area,"Kilmore, Elphin and Ardagh",177031002,117,19,16,18
027090002,ROI small area,"Kilmore, Elphin and Ardagh",027090002,242,30,18,85
027027002,ROI small area,"Kilmore, Elphin and Ardagh",027027002,175,17,25,4
027003002,ROI small area,"Kilmore, Elphin and Ardagh",027003002,125,20,34,6
187062002,ROI small area,"Tuam, Limerick and Killaloe",187062002,203,5,26,6
187009002,ROI small area,"Tuam, Limerick and Killaloe",187009002,264,16,21,7
217152016,ROI small area,"Tuam, Limerick and Killaloe",217152016,393,35,21,12
187079003,ROI small area,"Tuam, Limerick and Killaloe",187079003,120,21,15,0
217152004,ROI small area,"Tuam, Limerick and Killaloe",217152004,154,22,8,3
217152013,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
217152024,ROI small area,"Tuam, Limerick and Killaloe",217152024,208,9,12,9
217152018,ROI small area,"Tuam, Limerick and Killaloe",217152018,223,9,19,14
187001002,ROI small area,"Tuam, Limerick and Killaloe",187001002,129,40,12,3
107070001,ROI small area,"Tuam, Limerick and Killaloe",107070001,122,8,11,0
107063001,ROI small area,"Tuam, Limerick and Killaloe",107063001,190,16,15,3
027022003,ROI small area,Meath and Kildare,027022003,177,7,13,7
027074002,ROI small area,Meath and Kildare,027074002,271,17,33,4
027074001,ROI small area,Meath and Kildare,027074001,280,27,42,1
087069049,ROI small area,Meath and Kildare,087069049,307,17,40,8
087075001,ROI small area,Meath and Kildare,087075001,190,8,26,14
087075003,ROI small area,Meath and Kildare,087075003,226,14,40,23
087056005,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
087056006,ROI small area,Meath and Kildare,087056006,184,17,52,8
087075002,ROI small area,Meath and Kildare,087075002,375,20,35,72
087082001,ROI small area,Meath and Kildare,087082001,273,11,25,48
087030001,ROI small area,Meath and Kildare,087030001,220,11,47,5
087065001,ROI small area,Meath and Kildare,087065001,154,5,23,19
087055003,ROI small area,Meath and Kildare,087055003,217,11,22,17
087057001,ROI small area,Meath and Kildare,087057001,323,13,28,7
087057002,ROI small area,Meath and Kildare,087057002,474,24,37,12
117006001,ROI small area,"Kilmore, Elphin and Ardagh",117006001,211,6,30,2
117036003,ROI small area,"Kilmore, Elphin and Ardagh",117036003,153,8,16,6
117036002,ROI small area,"Kilmore, Elphin and Ardagh",117036002,222,12,37,18
197111001,ROI small area,"Kilmore, Elphin and Ardagh",197111001,153,14,38,2
117048002,ROI small area,"Kilmore, Elphin and Ardagh",117048002,137,7,11,6
027035002,ROI small area,"Kilmore, Elphin and Ardagh",027035002,188,10,8,2
027032003,ROI small area,"Kilmore, Elphin and Ardagh",027032003,157,45,12,7
027012001,ROI small area,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
027072002,ROI small area,"Kilmore, Elphin and Ardagh",027072002,202,20,10,14
027035003,ROI small area,"Kilmore, Elphin and Ardagh",027035003,201,34,18,5
027033002,ROI small area,"Kilmore, Elphin and Ardagh",027033002,311,13,14,7
027072001,ROI small area,"Kilmore, Elphin and Ardagh",027072001,215,23,27,6
087071051,ROI small area,Meath and Kildare,087071051,95,4,27,0
087019003,ROI small area,Meath and Kildare,087019003,366,18,40,38
167082005/01,ROI small area,Meath and Kildare,167082005/01,155,25,56,20
147035009,ROI small area,Meath and Kildare,147035009,176,44,43,14
147035010,ROI small area,Meath and Kildare,147035010,207,9,13,1
067131005,ROI small area,"Kilmore, Elphin and Ardagh",067131005,216,8,16,2
197104002,ROI small area,"Kilmore, Elphin and Ardagh",197104002,258,14,12,24
197085001,ROI small area,"Kilmore, Elphin and Ardagh",197085001,166,10,15,2
067073002,ROI small area,"Tuam, Limerick and Killaloe",067073002,145,6,13,0
197006002,ROI small area,"Kilmore, Elphin and Ardagh",197006002,226,0,19,0
197063002,ROI small area,"Kilmore, Elphin and Ardagh",197063002,200,4,8,4
197097001,ROI small area,"Kilmore, Elphin and Ardagh",197097001,93,9,19,5
197097004,ROI small area,"Kilmore, Elphin and Ardagh",197097004,165,20,11,7
197026001,ROI small area,"Kilmore, Elphin and Ardagh",197026001,239,7,19,14
197094002,ROI small area,"Kilmore, Elphin and Ardagh",197094002,192,5,15,12
197028002,ROI small area,"Kilmore, Elphin and Ardagh",197028002,256,18,14,7
197006001,ROI small area,"Kilmore, Elphin and Ardagh",197006001,217,7,29,12
197091003,ROI small area,"Kilmore, Elphin and Ardagh",197091003,255,7,22,8
197102002,ROI small area,"Kilmore, Elphin and Ardagh",197102002,147,1,27,5
197091004,ROI small area,"Kilmore, Elphin and Ardagh",197091004,164,15,10,19
197091001,ROI small area,"Kilmore, Elphin and Ardagh",197091001,240,12,14,9
137015002,ROI small area,"Kilmore, Elphin and Ardagh",137015002,203,13,22,11
197041001,ROI small area,"Kilmore, Elphin and Ardagh",197041001,191,4,15,11
197027002,ROI small area,"Kilmore, Elphin and Ardagh",197027002,215,17,1,7
107021001,ROI small area,"Tuam, Limerick and Killaloe",107021001,95,8,4,1
087031004,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
087082002,ROI small area,Meath and Kildare,087082002,229,18,46,12
087082004,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
167079002,ROI small area,Meath and Kildare,167079002,372,44,37,12
067144002,ROI small area,"Tuam, Limerick and Killaloe",067144002,341,16,27,20
067031001,ROI small area,"Tuam, Limerick and Killaloe",067031001,250,2,17,13
067002001,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
067002002,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
067019001,ROI small area,"Tuam, Limerick and Killaloe",067019001,318,10,26,7
067031002,ROI small area,"Tuam, Limerick and Killaloe",067031002,253,19,20,6
067031003,ROI small area,"Tuam, Limerick and Killaloe",067031003,215,6,7,16
067130002,ROI small area,"Tuam, Limerick and Killaloe",067130002,168,15,23,5
067001002,ROI small area,"Tuam, Limerick and Killaloe",067001002,305,5,20,7
067001001,ROI small area,"Tuam, Limerick and Killaloe",067001001,264,9,39,6
067082001,ROI small area,"Tuam, Limerick and Killaloe",067082001,164,2,16,5
067002003,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
067107001,ROI small area,"Tuam, Limerick and Killaloe",067107001,251,10,17,24
087030002,ROI small area,Meath and Kildare,087030002,225,23,36,6
087019001,ROI small area,Meath and Kildare,087019001,298,21,54,13
087070002,ROI small area,Meath and Kildare,087070002,181,6,30,11
087081001,ROI small area,Meath and Kildare,087081001,371,17,76,9
087052013,ROI small area,Meath and Kildare,087052013,268,34,64,61
087052004,ROI small area,Meath and Kildare,087052004,469,42,108,11
157048015,ROI small area,"Tuam, Limerick and Killaloe",157048015,342,26,57,9
157117001,ROI small area,"Tuam, Limerick and Killaloe",157117001,362,10,31,15
157150002,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
157150005,ROI small area,"Tuam, Limerick and Killaloe",157150005,304,14,49,12
157117003,ROI small area,"Tuam, Limerick and Killaloe",157117003,211,16,20,14
157035004,ROI small area,"Tuam, Limerick and Killaloe",157035004,184,6,14,7
157118002,ROI small area,"Tuam, Limerick and Killaloe",157118002,200,9,23,4
157089002,ROI small area,"Tuam, Limerick and Killaloe",157089002,200,4,15,6
157014002,ROI small area,"Tuam, Limerick and Killaloe",157014002,173,2,5,4
157123002,ROI small area,"Tuam, Limerick and Killaloe",157123002,186,3,20,10
157109002,ROI small area,"Tuam, Limerick and Killaloe",157109002,221,12,8,5
157108002,ROI small area,"Tuam, Limerick and Killaloe",157108002,172,4,17,4
157105003,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
157099001,ROI small area,"Tuam, Limerick and Killaloe",157099001,192,5,15,4
197097007,ROI small area,"Kilmore, Elphin and Ardagh",197097007,209,13,9,7
197027001,ROI small area,"Kilmore, Elphin and Ardagh",197027001,233,9,10,14
197097003,ROI small area,"Kilmore, Elphin and Ardagh",197097003,240,9,22,8
197013004,ROI small area,"Kilmore, Elphin and Ardagh",197013004,176,4,11,16
117072003/117072004,ROI small area,"Kilmore, Elphin and Ardagh",117072003/117072004,142,16,41,8
117070001/117070002,ROI small area,"Kilmore, Elphin and Ardagh",117070001/117070002,314,39,73,40
137008001,ROI small area,"Kilmore, Elphin and Ardagh",137008001,188,16,12,17
137002001,ROI small area,"Kilmore, Elphin and Ardagh",137002001,313,9,18,11
137042001,ROI small area,"Kilmore, Elphin and Ardagh",137042001,114,12,9,5
137012001,ROI small area,"Kilmore, Elphin and Ardagh",137012001,192,6,14,13
137021001,ROI small area,"Kilmore, Elphin and Ardagh",137021001,141,2,7,3
137007001,ROI small area,"Kilmore, Elphin and Ardagh",137007001,140,9,11,16
137007002,ROI small area,"Kilmore, Elphin and Ardagh",137007002,244,8,13,24
137007003,ROI small area,"Kilmore, Elphin and Ardagh",137007003,123,11,13,10
137026001,ROI small area,"Kilmore, Elphin and Ardagh",137026001,174,6,23,5
137026002,ROI small area,"Kilmore, Elphin and Ardagh",137026002,246,9,17,8
137018001,ROI small area,"Kilmore, Elphin and Ardagh",137018001,212,16,13,9
027078002,ROI small area,"Kilmore, Elphin and Ardagh",027078002,209,19,13,12
027004004,ROI small area,"Kilmore, Elphin and Ardagh",027004004,172,25,7,11
027042001,ROI small area,"Kilmore, Elphin and Ardagh",027042001,226,4,20,6
027080001,ROI small area,"Kilmore, Elphin and Ardagh",027080001,125,82,8,0
027004003,ROI small area,"Kilmore, Elphin and Ardagh",027004003,221,39,25,26
027090001,ROI small area,"Kilmore, Elphin and Ardagh",027090001,154,61,12,7
027080002,ROI small area,"Kilmore, Elphin and Ardagh",027080002,161,41,23,5
027030001,ROI small area,"Kilmore, Elphin and Ardagh",027030001,135,56,9,4
187013018,ROI small area,"Tuam, Limerick and Killaloe",187013018,293,9,11,5
127076002,ROI small area,"Tuam, Limerick and Killaloe",127076002,187,1,26,11
127020001,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
127103004,ROI small area,"Tuam, Limerick and Killaloe",127103004,228,7,26,5
127067001,ROI small area,"Tuam, Limerick and Killaloe",127067001,279,12,27,8
127072001,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
127127001,ROI small area,"Tuam, Limerick and Killaloe",127127001,240,17,8,7
217053003,ROI small area,"Tuam, Limerick and Killaloe",217053003,200,35,48,19
217072001,ROI small area,"Tuam, Limerick and Killaloe",217072001,162,1,13,1
217119002,ROI small area,"Tuam, Limerick and Killaloe",217119002,227,10,19,22
067180002,ROI small area,"Tuam, Limerick and Killaloe",067180002,316,7,17,6
067068001,ROI small area,"Tuam, Limerick and Killaloe",067068001,102,8,16,10
067008001,ROI small area,"Tuam, Limerick and Killaloe",067008001,158,11,12,6
067082003,ROI small area,"Tuam, Limerick and Killaloe",067082003,239,6,25,10
207050004,ROI small area,"Tuam, Limerick and Killaloe",207050004,194,19,25,15
207050007,ROI small area,"Tuam, Limerick and Killaloe",207050007,180,32,20,9
207050005,ROI small area,"Tuam, Limerick and Killaloe",207050005,169,35,20,30
207019001,ROI small area,"Tuam, Limerick and Killaloe",207019001,275,23,44,6
207019003,ROI small area,"Kilmore, Elphin and Ardagh",207019003,147,24,20,5
207038008,ROI small area,"Kilmore, Elphin and Ardagh",207038008,246,18,32,7
207037002,ROI small area,"Kilmore, Elphin and Ardagh",207037002,154,27,27,2
207019008,ROI small area,"Kilmore, Elphin and Ardagh",207019008,153,9,12,9
207061004,ROI small area,"Kilmore, Elphin and Ardagh",207061004,102,10,29,9
207059003,ROI small area,"Kilmore, Elphin and Ardagh",207059003,205,14,41,4
207061002,ROI small area,"Kilmore, Elphin and Ardagh",207061002,100,1,15,2
207059001,ROI small area,"Kilmore, Elphin and Ardagh",207059001,286,35,50,2
207020002,ROI small area,"Kilmore, Elphin and Ardagh",207020002,225,12,31,9
207044001,ROI small area,"Kilmore, Elphin and Ardagh",207044001,196,20,32,11
237028002,ROI small area,Meath and Kildare,237028002,210,9,23,12
237008001,ROI small area,Meath and Kildare,237008001,134,12,21,11
237064002,ROI small area,Meath and Kildare,237064002,133,13,23,10
167070001,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
167070007,ROI small area,Meath and Kildare,167070007,180,10,20,9
167021002,ROI small area,Meath and Kildare,167021002,178,10,23,7
167007001,ROI small area,Meath and Kildare,167007001,184,9,26,1
167016002,ROI small area,Meath and Kildare,167016002,209,4,20,3
157147002,ROI small area,"Tuam, Limerick and Killaloe",157147002,119,16,8,0
157105008,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
157105007,ROI small area,"Tuam, Limerick and Killaloe",157105007,129,8,28,7
157096001,ROI small area,"Tuam, Limerick and Killaloe",157096001,133,15,28,4
157099002,ROI small area,"Tuam, Limerick and Killaloe",157099002,132,7,29,7
157099003,ROI small area,"Tuam, Limerick and Killaloe",157099003,120,2,33,4
157099004,ROI small area,"Tuam, Limerick and Killaloe",157099004,112,7,16,2
157038001,ROI small area,"Tuam, Limerick and Killaloe",157038001,128,10,9,2
157038002,ROI small area,"Tuam, Limerick and Killaloe",157038002,140,12,6,6
157150004,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
157035001,ROI small area,"Tuam, Limerick and Killaloe",157035001,258,7,21,3
157143001,ROI small area,"Tuam, Limerick and Killaloe",157143001,132,2,10,13
157002002,ROI small area,"Tuam, Limerick and Killaloe",157002002,85,5,7,11
157141002,ROI small area,"Tuam, Limerick and Killaloe",157141002,204,4,20,3
067132002,ROI small area,"Tuam, Limerick and Killaloe",067132002,157,3,9,9
067131004,ROI small area,"Kilmore, Elphin and Ardagh",067131004,169,13,5,1
167032001/167032002/167032003,ROI small area,Meath and Kildare,167032001/167032002/167032003,200,26,29,1
167053001,ROI small area,Meath and Kildare,167053001,358,12,52,14
167053002,ROI small area,Meath and Kildare,167053002,211,14,34,15
027064001,ROI small area,"Kilmore, Elphin and Ardagh",027064001,180,24,4,3
027030002,ROI small area,"Kilmore, Elphin and Ardagh",027030002,208,19,16,1
167058001,ROI small area,Meath and Kildare,167058001,186,6,16,3
027073005,ROI small area,Meath and Kildare,027073005,195,11,21,7
027073002,ROI small area,"Kilmore, Elphin and Ardagh",027073002,342,22,28,29
167067002,ROI small area,Meath and Kildare,167067002,187,4,16,11
127026001,ROI small area,"Tuam, Limerick and Killaloe",127026001,219,5,38,74
127036007,ROI small area,"Tuam, Limerick and Killaloe",127036007,198,4,27,13
127003001,ROI small area,"Tuam, Limerick and Killaloe",127003001,245,10,8,41
037076001,ROI small area,"Tuam, Limerick and Killaloe",037076001,162,2,24,2
037079003,ROI small area,"Tuam, Limerick and Killaloe",037079003,195,12,17,3
037066001,ROI small area,"Tuam, Limerick and Killaloe",037066001,158,5,14,1
037112001,ROI small area,"Tuam, Limerick and Killaloe",037112001,143,3,10,1
127118001,ROI small area,"Tuam, Limerick and Killaloe",127118001,395,23,68,8
037114001,ROI small area,"Tuam, Limerick and Killaloe",037114001,219,6,15,5
037027002,ROI small area,"Tuam, Limerick and Killaloe",037027002,241,19,26,7
037153001,ROI small area,"Tuam, Limerick and Killaloe",037153001,276,7,42,11
037153003,ROI small area,"Tuam, Limerick and Killaloe",037153003,301,23,25,3
037107001,ROI small area,"Tuam, Limerick and Killaloe",037107001,102,10,16,1
037072001,ROI small area,"Tuam, Limerick and Killaloe",037072001,177,3,23,3
037082002,ROI small area,"Tuam, Limerick and Killaloe",037082002,148,5,21,6
037096001,ROI small area,"Tuam, Limerick and Killaloe",037096001,237,6,22,3
037007002,ROI small area,"Tuam, Limerick and Killaloe",037007002,208,6,35,4
217047007,ROI small area,"Tuam, Limerick and Killaloe",217047007,229,5,46,5
037131003,ROI small area,"Tuam, Limerick and Killaloe",037131003,209,9,35,16
037142006,ROI small area,"Tuam, Limerick and Killaloe",037142006,251,7,36,33
217151001,ROI small area,"Tuam, Limerick and Killaloe",217151001,233,13,27,3
217165003,ROI small area,"Tuam, Limerick and Killaloe",217165003,177,4,19,6
217165001,ROI small area,"Tuam, Limerick and Killaloe",217165001,110,15,17,3
217119001,ROI small area,"Tuam, Limerick and Killaloe",217119001,218,7,22,4
167037010,ROI small area,Meath and Kildare,167037010,373,22,66,20
167073002,ROI small area,Meath and Kildare,167073002,184,16,30,8
087028002,ROI small area,Meath and Kildare,087028002,319,27,73,9
087026001,ROI small area,Meath and Kildare,087026001,252,18,41,7
087026002,ROI small area,Meath and Kildare,087026002,326,8,40,20
087011003,ROI small area,Meath and Kildare,087011003,281,17,19,16
087047001,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
087047002,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
167017007,ROI small area,Meath and Kildare,167017007,208,8,19,8
167009001,ROI small area,Meath and Kildare,167009001,263,14,29,28
167077003,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
167077004,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
167077002,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
027074003,ROI small area,Meath and Kildare,027074003,182,21,46,7
027092016,ROI small area,Meath and Kildare,027092016,334,27,43,7
027074004,ROI small area,Meath and Kildare,027074004,205,13,25,8
027092015,ROI small area,Meath and Kildare,027092015,202,30,34,1
027092014,ROI small area,Meath and Kildare,027092014,218,54,36,26
027022004,ROI small area,Meath and Kildare,027022004,172,9,15,1
027070003,ROI small area,Meath and Kildare,027070003,159,23,21,5
027092012,ROI small area,Meath and Kildare,027092012,315,20,51,18
027070002,ROI small area,"Kilmore, Elphin and Ardagh",027070002,154,13,13,12
027070001,ROI small area,"Kilmore, Elphin and Ardagh",027070001,158,35,25,6
027008010,ROI small area,"Kilmore, Elphin and Ardagh",027008010,264,20,34,4
027087001,ROI small area,"Kilmore, Elphin and Ardagh",027087001,167,39,28,14
027092009,ROI small area,"Kilmore, Elphin and Ardagh",027092009,200,16,42,52
027031002,ROI small area,"Kilmore, Elphin and Ardagh",027031002,252,9,21,9
027059001,ROI small area,"Kilmore, Elphin and Ardagh",027059001,225,66,29,4
027020001,ROI small area,"Kilmore, Elphin and Ardagh",027020001,190,58,23,16
027043002,ROI small area,"Kilmore, Elphin and Ardagh",027043002,279,27,13,7
167024001,ROI small area,Meath and Kildare,167024001,315,27,66,10
167030019,ROI small area,Meath and Kildare,167030019,225,17,22,5
167030020,ROI small area,Meath and Kildare,167030020,265,14,24,9
167050001,ROI small area,Meath and Kildare,167050001,237,35,33,8
167050002,ROI small area,Meath and Kildare,167050002,225,9,40,18
167050004,ROI small area,Meath and Kildare,167050004,275,20,36,10
167030018,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
167030007,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
167032005,ROI small area,Meath and Kildare,167032005,241,10,20,2
167053005,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA
167053004,ROI small area,Meath and Kildare,167053004,144,13,36,8
167011003,ROI small area,Meath and Kildare,167011003,290,15,27,22
167088003,ROI small area,Meath and Kildare,167088003,241,10,26,21
167080005,ROI small area,Meath and Kildare,167080005,249,15,56,1
167088004,ROI small area,Meath and Kildare,167088004,322,11,30,12
027072004,ROI small area,"Kilmore, Elphin and Ardagh",027072004,233,26,10,4
027072007,ROI small area,"Kilmore, Elphin and Ardagh",027072007,215,4,17,1
027060003,ROI small area,"Kilmore, Elphin and Ardagh",027060003,139,55,9,11
027024020,ROI small area,"Kilmore, Elphin and Ardagh",027024020,204,8,23,39
027024014,ROI small area,"Kilmore, Elphin and Ardagh",027024014,131,43,25,19
027024004,ROI small area,"Kilmore, Elphin and Ardagh",027024004,286,73,18,23
027072003,ROI small area,"Kilmore, Elphin and Ardagh",027072003,190,15,27,3
027024026,ROI small area,"Kilmore, Elphin and Ardagh",027024026,284,11,15,2
027082002,ROI small area,"Kilmore, Elphin and Ardagh",027082002,245,23,5,27
